kind,i,value_ns
sample,113200,0
sample,113300,41
sample,113400,0
sample,113500,41
sample,113600,42
sample,113700,42
sample,113800,0
sample,113900,41
sample,114000,41
cumavg,114000,566
sample,114100,0
sample,114200,42
sample,114300,0
sample,114400,0
sample,114500,42
sample,114600,42
sample,114700,0
sample,114800,41
sample,114900,42
sample,115000,42
cumavg,115000,562
sample,115100,0
sample,115200,42
sample,115300,41
sample,115400,41
sample,115500,42
sample,115600,41
sample,115700,0
sample,115800,41
sample,115900,42
sample,116000,41
cumavg,116000,557
sample,116100,42
sample,116200,0
sample,116300,41
sample,116400,0
sample,116500,42
sample,116600,42
sample,116700,0
sample,116800,0
sample,116900,0
sample,117000,42
cumavg,117000,553
sample,117100,42
sample,117200,42
sample,117300,0
sample,117400,0
sample,117500,0
sample,117600,0
sample,117700,0
sample,117800,42
sample,117900,42
sample,118000,42
cumavg,118000,549
sample,118100,41
sample,118200,41
sample,118300,41
sample,118400,42
sample,118500,42
sample,118600,0
sample,118700,42
sample,118800,42
sample,118900,42
sample,119000,42
cumavg,119000,544
sample,119100,42
sample,119200,0
sample,119300,125
sample,119400,83
spike,119413,56917
sample,119500,0
sample,119600,41
sample,119700,41
sample,119800,41
sample,119900,42
sample,120000,125
cumavg,120000,541
sample,120100,42
sample,120200,42
sample,120300,42
sample,120400,42
sample,120500,0
sample,120600,41
sample,120700,42
sample,120800,0
sample,120900,42
sample,121000,42
cumavg,121000,536
sample,121100,42
sample,121200,0
sample,121300,41
sample,121400,42
sample,121500,42
sample,121600,0
sample,121700,42
sample,121800,0
sample,121900,42
sample,122000,0
cumavg,122000,532
sample,122100,0
sample,122200,42
sample,122300,125
sample,122400,125
spike,122457,244625
sample,122500,125
spike,122518,59542
sample,122600,125
sample,122700,84
spike,122749,87959
sample,122800,41
sample,122900,0
sample,123000,0
cumavg,123000,532
sample,123100,41
sample,123200,42
sample,123300,42
sample,123400,42
sample,123500,41
sample,123600,42
sample,123700,0
sample,123800,42
sample,123900,42
sample,124000,42
cumavg,124000,528
sample,124100,42
sample,124200,0
sample,124300,42
sample,124400,0
sample,124500,42
sample,124600,0
sample,124700,0
sample,124800,42
sample,124900,42
sample,125000,42
cumavg,125000,524
sample,125100,42
sample,125200,0
sample,125300,41
sample,125400,0
sample,125500,0
sample,125600,0
sample,125700,41
sample,125800,0
sample,125900,0
sample,126000,0
cumavg,126000,520
sample,126100,125
sample,126200,125
sample,126300,125
spike,126372,162208
sample,126400,125
sample,126500,125
sample,126600,41
sample,126700,83
sample,126800,125
sample,126900,0
sample,127000,41
cumavg,127000,519
sample,127100,42
sample,127200,42
sample,127300,42
spike,127336,151333
sample,127400,125
sample,127500,167
sample,127600,125
sample,127700,83
sample,127800,125
sample,127900,0
sample,128000,41
cumavg,128000,517
sample,128100,84
sample,128200,0
sample,128300,0
sample,128400,42
sample,128500,42
sample,128600,84
sample,128700,84
sample,128800,41
sample,128900,41
sample,129000,0
cumavg,129000,513
sample,129100,125
sample,129200,0
sample,129300,0
sample,129400,83
sample,129500,83
sample,129600,125
sample,129700,83
sample,129800,84
sample,129900,84
sample,130000,250
cumavg,130000,510
sample,130100,41
sample,130200,41
sample,130300,41
sample,130400,42
sample,130500,0
sample,130600,166
sample,130700,0
sample,130800,41
sample,130900,0
sample,131000,84
cumavg,131000,506
sample,131100,41
sample,131200,41
sample,131300,83
sample,131400,42
sample,131500,41
sample,131600,42
sample,131700,41
sample,131800,41
sample,131900,41
sample,132000,42
cumavg,132000,503
sample,132100,83
sample,132200,0
sample,132300,0
sample,132400,0
sample,132500,0
sample,132600,41
sample,132700,0
sample,132800,41
sample,132900,41
sample,133000,41
cumavg,133000,499
sample,133100,125
sample,133200,84
sample,133300,209
sample,133400,125
sample,133500,83
sample,133600,250
sample,133700,83
sample,133800,167
sample,133900,125
spike,133938,201292
sample,134000,83
cumavg,134000,498
sample,134100,42
sample,134200,0
sample,134300,0
sample,134400,42
sample,134500,41
sample,134600,41
sample,134700,42
sample,134800,0
sample,134900,41
sample,135000,0
cumavg,135000,495
sample,135100,42
sample,135200,0
spike,135230,704625
sample,135300,0
sample,135400,0
sample,135500,0
sample,135600,41
sample,135700,0
sample,135800,42
sample,135900,125
sample,136000,41
cumavg,136000,497
sample,136100,41
sample,136200,0
sample,136300,42
sample,136400,42
sample,136500,0
sample,136600,41
sample,136700,41
sample,136800,0
spike,136859,139167
sample,136900,41
sample,137000,42
cumavg,137000,494
sample,137100,0
sample,137200,0
sample,137300,41
sample,137400,42
sample,137500,0
sample,137600,0
sample,137700,42
sample,137800,42
sample,137900,0
sample,138000,0
cumavg,138000,491
sample,138100,41
sample,138200,0
sample,138300,0
sample,138400,0
sample,138500,0
sample,138600,41
sample,138700,0
sample,138800,41
sample,138900,41
sample,139000,41
cumavg,139000,488
sample,139100,42
sample,139200,0
sample,139300,0
sample,139400,0
sample,139500,0
sample,139600,0
sample,139700,41
sample,139800,0
sample,139900,0
sample,140000,1458
cumavg,140000,485
sample,140100,125
sample,140200,167
sample,140300,125
sample,140400,125
sample,140500,125
sample,140600,125
sample,140700,42
sample,140800,125
sample,140900,41
sample,141000,42
cumavg,141000,483
sample,141100,83
sample,141200,41
sample,141300,42
sample,141400,42
sample,141500,0
sample,141600,0
sample,141700,0
sample,141800,41
spike,141826,76250
sample,141900,84
sample,142000,41
cumavg,142000,480
sample,142100,41
sample,142200,0
sample,142300,0
sample,142400,42
sample,142500,42
sample,142600,41
sample,142700,0
sample,142800,41
sample,142900,41
sample,143000,41
cumavg,143000,477
sample,143100,0
sample,143200,41
sample,143300,42
sample,143400,42
sample,143500,42
sample,143600,125
sample,143700,125
sample,143800,42
sample,143900,83
sample,144000,42
cumavg,144000,474
sample,144100,0
sample,144200,84
sample,144300,42
sample,144400,0
sample,144500,42
sample,144600,0
sample,144700,0
sample,144800,42
sample,144900,42
sample,145000,0
cumavg,145000,471
sample,145100,42
sample,145200,42
sample,145300,0
sample,145400,125
sample,145500,125
sample,145600,42
sample,145700,125
sample,145800,167
sample,145900,83
sample,146000,125
cumavg,146000,469
sample,146100,125
sample,146200,41
sample,146300,125
sample,146400,125
sample,146500,83
sample,146600,84
sample,146700,0
sample,146800,0
sample,146900,125
sample,147000,83
cumavg,147000,466
sample,147100,84
sample,147200,167
